e, e_dot, e_int, stamp, 
0.7860036723148635, 0.005652543962445675, 0.05342211259837904, 8705000000, 
0.7871609821245783, 0.016998612922735534, 0.0534614136357071, 8739000000, 
0.786404466495739, 0.003929354714466415, 0.05348356674119743, 8773000000, 
0.7364126740087786, -0.1707886907630007, 0.10471900822585235, 8875000000, 
0.6239183476497188, -0.5310003883856872, 0.14597801319448808, 8977000000, 
0.45933344432359463, -0.9054876787097518, 0.12373718368678224, 9079000000, 
0.30469568637079025, -1.0432113113690475, 0.09438042852739903, 9181000000, 
0.1785759080149899, -0.9175082885902116, 0.06409714263223748, 9283000000, 
0.08786806174981376, -0.7085870085652827, 0.03883749661722038, 9385000000, 
0.051529515854187635, -0.4745609970869782, 0.018018497518409508, 9453000000, 
0.010612410368422864, -0.311846157938575, 0.008500565985104042, 9555000000, 
-0.011195929113188119, -0.2049851142724698, 0.0034643278034407216, 9657000000, 
-0.02263123780896359, -0.1086393731287139, -0.0015786034456535612, 9759000000, 
-0.024319767135807635, -0.04288835955104417, -0.003953991515941235, 9861000000, 
-0.02093583703776347, 0.005540525396078817, -0.004616305254812359, 9963000000, 
-0.01557813436554012, 0.028567427353815414, -0.0041366942206595625, 10065000000, 
-0.010398465497063913, 0.03443585470816849, -0.00319004570922499, 10167000000, 
-0.006228428716640977, 0.030554593623853408, -0.0021899419433886605, 10269000000, 
-0.003258261989503519, 0.023333998390720246, -0.0013521906218181717, 10371000000, 
-0.0013423446591198651, 0.01596759495921932, -0.0007363744048379764, 10473000000, 
-0.0002381322865482316, 0.009869704911618586, -0.00032903424759166984, 10575000000, 
0.0003349204687270735, 0.005481258587735093, -8.469784043198956e-05, 10677000000, 
0.0005391734987624242, 0.002540214984675346, 4.324539430400608e-05, 10779000000, 
0.0005231855595223545, 0.0006152453947558202, 9.501500783680594e-05, 10881000000, 
0.0004044997145169482, -0.00044011040603096716, 9.974639655051742e-05, 10983000000, 
0.00032072274514438615, -0.0007985336570727102, 7.074312108707569e-05, 11051000000, 
0.00022388149641749955, -0.0007271460875350644, 5.378255751113392e-05, 11153000000, 
0.00014551331596723838, -0.0005725798339122477, 4.692799391198043e-05, 11255000000, 
8.238741794364124e-05, -0.00046239894926097493, 3.072119166232978e-05, 11357000000, 
3.7800872257576223e-05, -0.00035200145003157565, 1.8067709219454996e-05, 11459000000, 
8.413606143009567e-06, -0.00024174448300860025, 8.744928951407437e-06, 11561000000, 
-8.014521275523379e-06, -0.00014972350827810327, 2.5975970845042437e-06, 11663000000, 
-1.527575717541474e-05, -7.741621999485068e-05, -1.0116137169391414e-06, 11765000000, 
-1.7877335378946313e-05, -3.2231418638637045e-05, -2.799397740432141e-06, 11867000000, 
-1.748947311508431e-05, -7.234365815913626e-06, -3.4436944655222842e-06, 11969000000, 
-1.585203320797479e-05, 6.618634545658567e-06, -3.4828812357363676e-06, 12071000000, 
-1.378346299907296e-05, 1.211114416997173e-05, -3.2044979139049797e-06, 12173000000, 
-1.1729630388979118e-05, 1.3471904637240767e-05, -2.8128286085298267e-06, 12275000000, 
-9.990860358133347e-06, 1.2394126277580437e-05, -2.4142688547406086e-06, 12377000000, 
-8.495445495082521e-06, 1.0569231679400645e-05, -2.054683664469259e-06, 12479000000, 
-7.706235432003439e-06, 8.755653456436109e-06, -1.4842440061624273e-06, 12547000000, 
-6.52905776488133e-06, 7.715662620067752e-06, -1.288075192544813e-06, 12649000000, 
-5.469933594737242e-06, 7.308175938778421e-06, -1.3399554218302965e-06, 12751000000, 
-4.458023453279836e-06, 6.768085985625798e-06, -1.1190770072770915e-06, 12853000000, 
-3.508753414149801e-06, 6.4090855574752975e-06, -9.136963114273476e-07, 12955000000, 
-2.575257393777619e-06, 6.152830259811166e-06, -7.168583297620933e-07, 13057000000, 
-1.6737450364567863e-06, 5.99675940422554e-06, -5.27527397418126e-07, 13159000000, 
-7.966032009587565e-07, 5.8125954013688335e-06, -3.43101182921135e-07, 13261000000, 
2.909184859678504e-08, 5.564826421743697e-06, -1.660054344396755e-07, 13363000000, 
8.509012411339612e-07, 5.384001444747444e-06, 5.6705124364953e-09, 13465000000, 
1.659186167457527e-06, 5.327105617191968e-06, 1.7266418948880256e-07, 13567000000, 
2.454119225503426e-06, 5.239274458723742e-06, 3.375660511184541e-07, 13669000000, 
3.179954085719139e-06, 4.969829798240562e-06, 4.959416445502462e-07, 13771000000, 
3.870341570344493e-06, 4.6281775975198275e-06, 6.463002119465598e-07, 13873000000, 
4.305646721936007e-06, 4.390017032720998e-06, 6.435034014199795e-07, 13941000000, 
4.9850762759984235e-06, 4.354206802123161e-06, 7.45793658869139e-07, 14043000000, 
5.667883955062791e-06, 4.45175566381302e-06, 1.0171852728038109e-06, 14145000000, 
6.302695860105345e-06, 4.305946353290594e-06, 1.152984614199326e-06, 14247000000, 
6.9656742511803316e-06, 4.2411447585540534e-06, 1.2876652765116956e-06, 14349000000, 
7.738015326386183e-06, 4.6905864911138495e-06, 1.4284342097616862e-06, 14451000000, 
8.647557721341848e-06, 5.496351209678157e-06, 1.5878848163257685e-06, 14553000000, 
9.721093082615262e-06, 6.480646262186533e-06, 1.7752532968633436e-06, 14655000000, 
1.0985522856277186e-05, 7.640408937697185e-06, 1.9960838088959317e-06, 14757000000, 
1.299390532338851e-05, 1.0695464839128266e-05, 2.291635445835105e-06, 14859000000, 
1.6433804370663552e-05, 1.7804841550282244e-05, 2.7480998134223883e-06, 14961000000, 
-0.004157690173380857, -0.013629686531713222, -0.0002807218475307027, 15063000000, 
-0.010450672498579117, -0.0342062297482019, -0.000992251162996073, 15165000000, 
-0.02171917599889217, -0.05739047655395854, -0.0024702726296179454, 15267000000, 
-0.04067694237069819, -0.09877865971280743, -0.004953581779035524, 15369000000, 
